Date,Value,Group,Years
2007,0,E&R ADR 60,2
2008,-11.64593326193848,E&R ADR 60,2
2009,5.674626907432657,E&R ADR 60,2
2010,37.666000464214555,E&R ADR 60,2
2011,0.33536062556818713,E&R ADR 60,2
2012,-1.523003364824417,E&R ADR 60,2
2013,16.853489572914935,E&R ADR 60,2
2014,11.95150382203557,E&R ADR 60,2
2015,0.06643138466246867,E&R ADR 60,2
2016,-2.6767425705376713,E&R ADR 60,2
2017,20.03004446608687,E&R ADR 60,2
2018,10.109967725487916,E&R ADR 60,2
2019,4.0494974558955175,E&R ADR 60,2
2020,29.681620302059187,E&R ADR 60,2
2021,16.391982463804048,E&R ADR 60,2
2022,-2.3749459705266753,E&R ADR 60,2
2023,1.5637077084674837,E&R ADR 60,2
2007,0,MCAP Weighted 153 ADRs,2
2008,-15.196973779641091,MCAP Weighted 153 ADRs,2
2009,3.712410758938468,MCAP Weighted 153 ADRs,2
2010,36.86654558066824,MCAP Weighted 153 ADRs,2
2011,1.3657763972065808,MCAP Weighted 153 ADRs,2
2012,-0.4123665171998905,MCAP Weighted 153 ADRs,2
2013,17.51005270690734,MCAP Weighted 153 ADRs,2
2014,10.759890210918027,MCAP Weighted 153 ADRs,2
2015,-3.7770430891061686,MCAP Weighted 153 ADRs,2
2016,-3.629785928780543,MCAP Weighted 153 ADRs,2
2017,10.739328380764778,MCAP Weighted 153 ADRs,2
2018,2.648471621623388,MCAP Weighted 153 ADRs,2
2019,3.2750417961564704,MCAP Weighted 153 ADRs,2
2020,19.206006358511868,MCAP Weighted 153 ADRs,2
2021,9.303042307381874,MCAP Weighted 153 ADRs,2
2022,-2.062727724099028,MCAP Weighted 153 ADRs,2
2023,2.2626987106135434,MCAP Weighted 153 ADRs,2
2007,0,E&R ADR 60,3
2008,0,E&R ADR 60,3
2009,10.426645148068607,E&R ADR 60,3
2010,10.70315092507055,E&R ADR 60,3
2011,18.414174406406385,E&R ADR 60,3
2012,5.904730743565833,E&R ADR 60,3
2013,4.53916714553997,E&R ADR 60,3
2014,13.64882620787742,E&R ADR 60,3
2015,5.598790311864562,E&R ADR 60,3
2016,0.6286714455756831,E&R ADR 60,3
2017,10.98448407456543,E&R ADR 60,3
2018,7.324362339459316,E&R ADR 60,3
2019,15.468644092187555,E&R ADR 60,3
2020,13.758746230107528,E&R ADR 60,3
2021,19.656653917731642,E&R ADR 60,3
2022,9.475783945826066,E&R ADR 60,3
2023,0.9113788553371718,E&R ADR 60,3
2007,0,MCAP Weighted 153 ADRs,3
2008,0,MCAP Weighted 153 ADRs,3
2009,8.120837215469868,MCAP Weighted 153 ADRs,3
2010,8.800484491173878,MCAP Weighted 153 ADRs,3
2011,19.162670666701647,MCAP Weighted 153 ADRs,3
2012,6.050632973748304,MCAP Weighted 153 ADRs,3
2013,6.258342084194383,MCAP Weighted 153 ADRs,3
2014,12.313375516222601,MCAP Weighted 153 ADRs,3
2015,4.0152243695901975,MCAP Weighted 153 ADRs,3
2016,-1.7798502409026546,MCAP Weighted 153 ADRs,3
2017,4.001516482821365,MCAP Weighted 153 ADRs,3
2018,2.5038262329170506,MCAP Weighted 153 ADRs,3
2019,8.604734966112707,MCAP Weighted 153 ADRs,3
2020,8.148278218081776,MCAP Weighted 153 ADRs,3
2021,13.041115423285033,MCAP Weighted 153 ADRs,3
2022,4.589765204578111,MCAP Weighted 153 ADRs,3
2023,1.7455769913528156,MCAP Weighted 153 ADRs,3
