Symbol,Name,Current Price,P&L(%),Portfolio Proportion(%),Benchmark Proportion(%)
500410,A C C,2345.25,-3.99,0.22,0
500002,ABB India Limited,0,0,0,0.31
512599,Adani Ent,3638.85,-5,2.63,2.12
541450,Adani Green Energy Ltd,0,0,0,1.76
532921,Adani Port and Special Economic Zone Ltd,785.15,-4.34,2.64,0.87
533096,Adani Power,281.8,-0.56,2.69,0.56
542066,Adani Total Gas Ltd,0,0,0,2.16
539254,Adani Transmission Ltd,0,0,0,1.55
543458,Adani Wilmar Ltd,0,0,0,0.38
500425,Ambuja Cem,517.2,-2.72,2.69,0.53
508869,Apollo Hosp,4323.2,-3.74,2.66,0.32
500477,Ashok Leyland,146.8,-0.41,0.23,0
500820,Asian Paint,2941.35,-2.88,0.22,1.44
540611,AU Small Finance Bank Ltd,629.35,-3.34,0.22,0
524804,Aurobindo Ph,442.55,0.31,0.23,0
540376,Avenue Supermarts Ltd,3688.05,-9.13,0.21,1.22
532215,Axis Bank,917.7,31.8,1.93,1.44
532977,Bajaj Auto,3606.55,10.09,1.61,0.53
500034,Bajaj Finance Ltd,5983.4,-9.43,0.21,1.85
532978,Bajaj Finsv,1373.05,-12.17,2.43,1.12
500490,Bajaj Hold,5695.65,0.59,2.78,0.32
541153,Bandhan Bank Ltd,240.05,-5.01,1.39,0
532134,Bank of Baroda Ltd,181.75,-0.79,1.52,0.48
509480,BERGER PAINTS INDIA LTD.,0,0,0,0.28
500049,Bharat Electronics Ltd,102.9,3.99,1.6,0.38
500493,Bharat Forge,862.8,-1.77,0.22,0
500547,Bharat Petroleum Corporation Ltd,348.3,-9.78,1.32,0.39
532454,Bharti Airtel Ltd,765.95,-6.32,0.21,2.18
500530,BOSCH LTD.,0,0,0,0.26
500825,Britannia Industries Ord Shs,4365.15,2.97,0.23,0.54
532483,CANARA BANK,0,0,0,0.3
511243,Cholamandalam Investment & Finance Co. Ltd.,681.25,-6.47,2.58,0.29
500087,Cipla,1068.95,-0.6,0.23,0.44
533278,Coal India,213.05,37.19,2.01,0.67
500830,Colgate,1499.2,2.4,1.5,0
539876,Crompton Greaves Consumer Electricals Ltd,324.35,-6.53,0.21,0
500096,Dabur India,556.85,-0.7,0.23,0.5
532488,Divi'S Laboratorie,3346.3,-1.4,0.22,0.45
532868,DLF Limited,375.35,-1.24,0.22,0.48
500124,Dr. Reddy Lab,4352.1,2.7,0.23,0.37
505200,Eicher Motors Ord Shs,3184.3,-0.88,0.22,0.45
500469,FEDERALBANK,137.95,2.53,0.23,0
532155,GAIL,97.35,18.54,1.73,0.33
533150,Godrej Prop,1240,3.39,1.59,0
532424,GODREJCP,929.2,4.08,0.24,0.49
500300,Grasim Industries Ord Shs,1661.35,-3.36,2.67,0.56
517354,Havells India,1177.75,4.42,0.24,0.38
532281,HCL Technologies Ltd,1111,6.71,0.24,1.54
500180,HDFC Bank,1608.6,-1.9,0.22,4.59
540777,HDFC Life Insurance Co. Ltd.,609.55,-6.37,1.37,0.67
500182,Hero Moto,2766.1,11.69,1.63,0.28
500440,Hindalco Indust,487.95,1.66,2.81,0.56
541154,Hindustan Aeronautics Ltd,0,0,0,0.42
500696,Hindustan Unilever Limited,2666.4,4.95,0.24,3.2
500188,HINDUSTAN ZINC LTD.,0,0,0,0.75
500010,Housing Development Finance Corp Ord Shs,2640.65,-0.97,0.22,2.47
532174,ICICI Bank,865.5,-4.03,0.22,3.09
540716,ICICI Lombard General Insurance Company Ltd,1250.15,-11.33,1.3,0.31
540133,ICICI Prudential Life Insurance Company Ltd,484.35,3.28,0.23,0.36
500116,IDBI BANK LTD.,0,0,0,0.3
530965,Indian Oil Corp Ord Shs,81.6,-27.79,1.06,0.59
532388,INDIAN OVERSEAS BANK,0,0,0,0.3
542830,Indian Railway Catering and Tourism Corporation Ltd,640.9,0.72,0.23,0.26
500850,INDIANHOTEL,309.35,-0.35,2.69,0
532187,Indusind Bank Ord Shs,1230.25,34.84,1.97,0.49
532777,Info Edge,3730.45,-4.65,0.22,0
500209,Infosys,1539.75,1.13,0.23,3.31
539448,Interglobe Aviation Ltd,2082.7,2.1,0.23,0.41
500875,ITC,332.3,51.63,2.22,2.11
500228,J S W Steel,757.1,-1.43,2.72,0.94
532286,JINDAL STEEL & POWER LTD.,0,0,0,0.31
533155,Jubilant Food,495.6,-2.34,0.22,0
500247,Kotak Mah Bk,1796.05,-2.02,0.22,1.82
500510,Larsen & Tou,2213.15,5.95,0.24,1.59
540005,Larsen & Toubro Infotech Ltd,4280.5,-1.62,0.22,0.65
543526,Life Insurance Corporation of India,0,0,0,2.28
500257,Lupin,753.05,2.1,0.23,0
543287,Macrotech Developers Ltd,0,0,0,0.27
500520,Mahindra And Mahindra Ord Shs,1320,5.72,0.24,0.84
531642,Marico,508.4,-0.45,0.23,0.34
532500,Maruti Suzuki,8472.95,12.68,1.65,1.31
500271,Max India L,801.95,12.94,0.26,0
526299,Mphasis,2041.45,3.3,0.23,0
532555,N T P C,167.6,33.02,1.95,0.83
500790,Nestle Ltd,19925.9,0.98,0.23,0.98
500312,Oil And Natural Gas Ord Shs,147.85,-1.1,0.22,0.95
523642,P.I. Indust,3269.95,-4.09,0.22,0.25
532827,Page Indust,40323.6,-4.38,0.22,0
500331,Pidilite Indust,2437.6,-3.83,0.22,0.63
532898,Power Grid Of India Ord Shs,218.4,6.59,1.56,0.78
532461,PUNJAB NATIONAL BANK,0,0,0,0.33
500325,RELIANCE,2478.55,-3.07,0.22,8.58
517334,Samvardhana Motherson International Ltd,0,0,0,0.26
543066,SBI Cards & Payment Services Ltd.,766.55,-0.94,1.52,0.37
540719,SBI Life Insurance Company Ltd,1296.4,2.2,0.23,0.66
500387,Shree Cement,24059.95,1.5,0.23,0.44
511218,Shriram Transp,1271.95,-5.78,0.21,0
500550,Siemens Ltd,2944.1,3.77,2.87,0.54
503806,SRF,2188.35,-4.95,2.63,0.33
500112,State Bank Ind,592.95,-3.17,2.68,2.71
524715,Sun Pharma,1032.4,2.3,0.23,1.27
532540,Tata Consultancy Services Ltd,3378.85,2.05,0.23,6.32
500800,Tata Consumer Products,749.8,-2.28,0.22,0.36
500408,Tata Elxsi,6253,0.99,2.73,0
500570,Tata Motors Limited,415.25,5.39,2.91,0.71
570001,Tata Motors Ltd Dvr,213.05,0.38,2.77,0
500400,Tata Power Co. Ltd,207.6,-1.73,2.72,0.34
500470,TATASTEEL,119.35,0.76,0.23,0.75
532755,Tech Mahindra,1045.7,2.11,0.23,0.52
500114,Titan Co,2408.5,-7.85,0.21,1.09
500420,TORRENT PHARMACEUTICALS LTD.,0,0,0,0.27
500251,TRENT,1193.5,-4.44,0.22,0
540762,Tube Investments of India Ltd,0,0,0,0.26
532538,Ultratech Cem,7373.75,5.39,0.24,1.09
532477,UNION BANK OF INDIA,0,0,0,0.28
512070,United Phosphorus Ord Shs,719.25,-0.06,0.23,0.28
532432,UNITED SPIRITS LTD.,0,0,0,0.32
540180,Varun Beverages Ltd,0,0,0,0.4
500295,Vedanta Limited,317.5,-0.63,2.75,0.6
500575,Voltas,809.95,0.19,0.23,0
507685,WIPRO,396.15,-0.21,0.23,1.11
532648,YES BANK LTD.,0,0,0,0.3
505537,Zee Ent,228.35,-4.91,0.22,0
