Group,Period,Annualized Return %
India Under-served,1 Year,-0.07
India Under-served,2 Years,7.09
India Under-served,3 Years,13.88
India Under-served,5 Years,18.67
India Under-served,10 Years,13.02
India Under-served,12 Years,17.16
Nifty 50,1 Year,-9.35
Nifty 50,2 Years,-1.37
Nifty 50,3 Years,4.7
Nifty 50,5 Years,5.78
Nifty 50,10 Years,9.66
Nifty 50,12 Years,9.54
S&P BSE 500,1 Year,-10.33
S&P BSE 500,2 Years,-3.05
S&P BSE 500,3 Years,3.24
S&P BSE 500,5 Years,6.2
S&P BSE 500,10 Years,10.03
S&P BSE 500,12 Years,9.81
S&P BSE Midcap,1 Year,-11.75
S&P BSE Midcap,2 Years,-7.58
S&P BSE Midcap,3 Years,-0.5
S&P BSE Midcap,5 Years,8.11
S&P BSE Midcap,10 Years,10.87
S&P BSE Midcap,12 Years,10.59
S&P BSE Smallcap,1 Year,-25.49
S&P BSE Smallcap,2 Years,-19.23
S&P BSE Smallcap,3 Years,-7.37
S&P BSE Smallcap,5 Years,3.45
S&P BSE Smallcap,10 Years,8.95
S&P BSE Smallcap,12 Years,9.81
